year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,16,00:00,39.5,40.90167,142.955,16,1.9,青森県東方沖
2025,12,16,00:07,22.3,27.89667,127.92333,21,1.7,沖縄本島北西沖
2025,12,16,00:09,38.3,41.22333,142.635,35,1.4,青森県東方沖
2025,12,16,00:09,45.1,34.06667,135.27333,8,-0.1,和歌山県北部
2025,12,16,00:12,17.1,37.24333,141.18833,77,1.1,福島県沖
2025,12,16,00:13,16.7,40.88167,142.99667,7,2.3,青森県東方沖
2025,12,16,00:15,25.9,33.67167,140.51,26,3.1,八丈島東方沖
2025,12,16,00:15,27.4,40.885,142.965,14,1.7,青森県東方沖
2025,12,16,00:16,16.3,36.35667,143.51667,24,2.1,関東東方沖
2025,12,16,00:18,25.3,38.64,141.99,50,0.7,宮城県沖
2025,12,16,00:19,46.7,36.41,138.00333,12,0.0,長野県中部
2025,12,16,00:24,29.7,32.69833,132.79333,24,0.6,四国沖
2025,12,16,00:25,13.9,38.50333,142.26,42,1.2,宮城県沖
2025,12,16,00:27,11.7,37.31333,141.28667,30,2.5,福島県沖
2025,12,16,00:27,22.1,26.94,130.235,47,2.3,奄美大島近海
2025,12,16,00:29,58.3,40.91333,142.11,54,1.3,青森県東方沖
2025,12,16,00:36,2.0,36.135,140.06,66,0.5,茨城県南部
2025,12,16,00:36,34.7,38.86667,142.575,28,1.1,宮城県沖
2025,12,16,00:36,54.2,32.45833,130.64167,5,0.0,熊本県熊本地方
2025,12,16,00:37,5.5,36.08,138.02667,8,-0.5,長野県中部
2025,12,16,00:39,29.8,40.95333,143.06833,15,1.3,青森県東方沖
2025,12,16,00:41,47.0,42.55,144.115,69,1.6,十勝沖
2025,12,16,00:41,52.5,42.62667,141.94167,14,0.7,胆振地方中東部
2025,12,16,00:42,5.0,24.25833,125.14833,60,1.8,宮古島近海
2025,12,16,00:46,36.7,32.29333,131.09167,12,-0.2,熊本県球磨地方
2025,12,16,00:47,19.6,43.39667,147.95833,50,3.7,北海道東方沖
2025,12,16,00:48,46.3,37.71667,142.21167,31,1.0,福島県沖
2025,12,16,00:55,5.3,31.53,131.78167,16,1.2,日向灘
2025,12,16,00:55,12.1,35.88167,137.63667,7,-0.1,長野県南部
2025,12,16,00:55,51.6,32.98667,131.10833,6,2.2,熊本県阿蘇地方
2025,12,16,00:57,21.3,32.99167,131.10667,6,0.9,熊本県阿蘇地方
2025,12,16,00:57,26.8,24.25167,123.795,18,0.3,西表島付近
2025,12,16,00:58,10.3,24.02667,122.435,25,1.9,与那国島近海
2025,12,16,00:59,21.5,40.98833,143.01,20,1.5,青森県東方沖
2025,12,16,01:00,8.9,32.98667,131.11,6,1.0,熊本県阿蘇地方
2025,12,16,01:01,9.8,27.92167,128.94833,19,0.9,奄美大島近海
2025,12,16,01:01,58.4,26.56167,127.22333,13,0.7,沖縄本島近海
2025,12,16,01:04,48.4,37.31167,142.2,20,1.0,福島県沖
2025,12,16,01:08,31.5,36.70667,140.605,8,1.0,茨城県北部
2025,12,16,01:09,10.6,41.00833,143.03333,21,1.0,青森県東方沖
2025,12,16,01:12,27.5,40.98167,143.00333,19,1.0,青森県東方沖
2025,12,16,01:13,2.8,36.51167,141.04667,41,0.8,茨城県沖
2025,12,16,01:13,52.6,40.99,142.99333,18,1.3,青森県東方沖
2025,12,16,01:14,55.7,36.94833,140.84667,84,0.2,福島県浜通り
2025,12,16,01:14,59.0,40.92833,142.94167,18,3.5,青森県東方沖
2025,12,16,01:15,24.6,26.95833,128.48,30,1.4,沖縄本島近海
2025,12,16,01:16,59.6,39.69167,141.32667,82,1.2,岩手県内陸北部
2025,12,16,01:18,33.4,40.89333,143.00667,15,-,青森県東方沖
2025,12,16,01:19,8.3,40.885,143.00333,13,1.9,青森県東方沖
2025,12,16,01:22,7.8,40.83833,143.035,14,-,青森県東方沖
2025,12,16,01:22,31.3,40.79833,143.04667,11,-,青森県東方沖
2025,12,16,01:22,33.6,40.14,141.19167,11,1.2,岩手県内陸北部
