year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,15,00:01,55.7,35.065,134.92,12,1.6,兵庫県南東部
2025,12,15,00:02,6.1,40.64333,143.93333,45,1.6,三陸沖
2025,12,15,00:02,15.8,36.15833,142.62,17,1.5,関東東方沖
2025,12,15,00:03,23.2,37.045,136.63333,8,1.4,石川県西方沖
2025,12,15,00:03,48.0,37.06333,136.63667,8,1.0,石川県西方沖
2025,12,15,00:05,37.7,40.905,143.24333,19,2.2,青森県東方沖
2025,12,15,00:08,59.2,37.675,142.41167,23,2.0,福島県沖
2025,12,15,00:12,46.6,40.81833,142.93167,15,1.8,青森県東方沖
2025,12,15,00:13,22.6,32.02833,130.94333,9,0.6,宮崎県南部山沿い
2025,12,15,00:13,31.9,38.64833,141.265,78,2.2,宮城県北部
2025,12,15,00:16,36.5,33.69,135.485,11,0.3,和歌山県南部
2025,12,15,00:18,30.5,40.90833,143.02667,24,1.0,青森県東方沖
2025,12,15,00:18,53.0,33.005,131.12833,6,0.3,熊本県阿蘇地方
2025,12,15,00:19,40.2,40.87,143.04833,14,1.7,青森県東方沖
2025,12,15,00:20,11.8,37.05833,136.62,11,1.3,石川県西方沖
2025,12,15,00:21,49.3,31.87167,131.20167,10,0.1,宮崎県南部平野部
2025,12,15,00:24,11.8,32.99667,131.11833,9,1.1,熊本県阿蘇地方
2025,12,15,00:26,57.0,41.29333,142.6,36,1.5,青森県東方沖
2025,12,15,00:27,32.5,40.83833,143.04,10,1.7,青森県東方沖
2025,12,15,00:29,18.9,34.42833,131.36167,4,0.2,山口県北西沖
2025,12,15,00:30,29.0,40.92833,143.04333,17,1.8,青森県東方沖
2025,12,15,00:31,43.2,37.05667,136.62667,12,0.8,石川県西方沖
2025,12,15,00:32,1.7,35.47833,139.02,22,0.7,神奈川県西部
2025,12,15,00:32,54.6,37.05333,136.63333,8,1.3,石川県西方沖
2025,12,15,00:33,11.3,40.9,143.02833,21,1.6,青森県東方沖
2025,12,15,00:34,56.3,37.04833,136.63,9,1.2,石川県西方沖
2025,12,15,00:38,13.0,36.21667,140.52333,86,1.2,茨城県南部
2025,12,15,00:39,36.4,35.85333,140.475,37,0.6,千葉県北西部
2025,12,15,00:40,46.7,40.885,142.985,13,2.1,青森県東方沖
2025,12,15,00:42,16.9,41.17167,142.295,46,0.9,青森県東方沖
2025,12,15,00:42,48.7,32.02833,130.94333,8,-0.1,宮崎県南部山沿い
2025,12,15,00:43,18.6,37.05667,136.63,7,1.3,石川県西方沖
2025,12,15,00:43,51.8,40.88167,142.98333,15,3.2,青森県東方沖
2025,12,15,00:44,42.5,32.99333,131.115,9,0.2,熊本県阿蘇地方
2025,12,15,00:45,36.6,39.115,142.45833,32,1.4,岩手県沖
2025,12,15,00:48,12.5,32.97,131.09167,11,0.3,熊本県阿蘇地方
2025,12,15,00:49,14.9,40.91,143.01,12,1.6,青森県東方沖
2025,12,15,00:50,42.3,28.20667,129.61167,22,1.3,奄美大島近海
2025,12,15,00:51,0.8,39.11667,142.44167,30,1.5,岩手県沖
2025,12,15,00:51,42.7,40.96833,142.94833,19,1.6,青森県東方沖
2025,12,15,00:53,48.6,37.065,136.63333,7,2.3,石川県西方沖
2025,12,15,00:55,0.8,40.87,142.49,41,2.0,青森県東方沖
2025,12,15,00:56,2.9,31.87167,131.19833,11,0.9,宮崎県南部山沿い
2025,12,15,00:56,45.5,40.80833,143.04167,13,1.7,青森県東方沖
2025,12,15,00:57,23.2,40.91667,142.93667,18,1.9,青森県東方沖
2025,12,15,00:58,55.3,35.96833,140.20667,38,0.5,茨城県南部
2025,12,15,01:00,53.8,37.055,136.63833,8,1.2,石川県西方沖
2025,12,15,01:01,46.0,37.05667,136.61833,9,-,石川県西方沖
2025,12,15,01:02,51.1,40.93667,143.05167,17,1.4,青森県東方沖
2025,12,15,01:04,8.1,37.05833,136.635,7,1.3,石川県西方沖
2025,12,15,01:04,36.8,37.20167,136.79667,8,1.1,石川県能登地方
2025,12,15,01:05,24.0,37.07,136.63167,11,-,石川県西方沖
2025,12,15,01:07,38.8,34.08167,135.33333,10,0.0,和歌山県北部
2025,12,15,01:19,3.3,32.82167,130.56167,5,-0.3,有明海
2025,12,15,01:19,3.5,36.86333,139.90167,113,1.3,栃木県北部
2025,12,15,01:19,10.2,37.835,141.61833,51,1.3,福島県沖
2025,12,15,01:19,10.5,37.06,136.625,8,1.2,石川県西方沖
2025,12,15,01:19,24.4,40.36,143.52167,11,1.7,三陸沖
2025,12,15,01:20,52.0,37.06333,136.62167,8,1.3,石川県西方沖
2025,12,15,01:22,39.0,33.00667,131.14667,6,0.9,熊本県阿蘇地方
2025,12,15,01:24,47.5,37.05333,136.61167,8,2.8,石川県西方沖
2025,12,15,01:26,1.9,37.06,136.63167,12,-,石川県西方沖
2025,12,15,01:26,14.3,37.06167,136.62833,7,1.6,石川県西方沖
2025,12,15,01:26,27.7,24.66167,125.23833,48,1.8,宮古島近海
