year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,9,00:00,42.7,41.075,142.21333,50,2.1,青森県東方沖
2025,12,9,00:01,13.5,40.95,142.21833,51,2.9,青森県東方沖
2025,12,9,00:02,25.7,32.90333,132.2,35,1.4,豊後水道
2025,12,9,00:02,31.6,41.21167,143.09833,23,2.2,青森県東方沖
2025,12,9,00:02,54.5,40.99833,142.70167,33,3.1,青森県東方沖
2025,12,9,00:03,14.9,34.62833,140.365,56,1.7,千葉県南東沖
2025,12,9,00:03,32.8,41.04833,142.785,30,3.9,青森県東方沖
2025,12,9,00:05,9.1,40.98333,142.38833,45,2.0,青森県東方沖
2025,12,9,00:05,31.6,41.13167,142.70167,21,3.7,青森県東方沖
2025,12,9,00:07,2.1,41.91333,141.06,9,1.9,内浦湾
2025,12,9,00:07,7.1,40.98667,142.375,45,2.2,青森県東方沖
2025,12,9,00:07,37.6,41.11,143.17167,18,3.0,青森県東方沖
2025,12,9,00:07,58.8,41.115,143.09,24,3.1,青森県東方沖
2025,12,9,00:08,15.3,31.63,132.07667,32,1.1,日向灘
2025,12,9,00:09,3.2,41.19833,142.20167,53,2.0,青森県東方沖
2025,12,9,00:09,48.0,41.15667,142.48,45,-,青森県東方沖
2025,12,9,00:09,55.6,40.99167,142.69833,37,3.9,青森県東方沖
2025,12,9,00:11,35.6,41.05833,142.52333,39,1.9,青森県東方沖
2025,12,9,00:12,5.0,40.87167,142.94,21,2.9,青森県東方沖
2025,12,9,00:12,58.3,41.065,143.03167,22,2.3,青森県東方沖
2025,12,9,00:13,44.5,40.89833,143.11167,12,2.3,青森県東方沖
2025,12,9,00:13,56.1,41.11667,142.64167,36,2.3,青森県東方沖
2025,12,9,00:14,19.2,41.07833,142.475,41,2.5,青森県東方沖
2025,12,9,00:14,47.0,41.04,142.32167,47,1.8,青森県東方沖
2025,12,9,00:15,17.9,41.09,143.275,17,1.6,青森県東方沖
2025,12,9,00:15,45.3,28.145,139.30833,547,4.0,小笠原諸島西方沖
2025,12,9,00:15,55.5,41.05667,143.13,23,2.1,青森県東方沖
2025,12,9,00:16,30.8,41.03667,142.345,47,1.5,青森県東方沖
2025,12,9,00:17,6.7,41.04833,142.48667,42,2.3,青森県東方沖
2025,12,9,00:17,24.0,41.04333,143.00167,23,2.8,青森県東方沖
2025,12,9,00:18,25.9,41.04167,142.89833,27,2.2,青森県東方沖
2025,12,9,00:18,48.7,41.05167,142.87,28,2.4,青森県東方沖
2025,12,9,00:19,49.5,40.97167,143.125,21,2.7,青森県東方沖
2025,12,9,00:21,1.9,41.045,142.48167,41,2.2,青森県東方沖
2025,12,9,00:21,42.4,41.18,143.125,26,-,青森県東方沖
2025,12,9,00:21,51.4,40.84333,143.00333,17,2.7,青森県東方沖
2025,12,9,00:22,5.2,41.14333,143.115,19,3.5,青森県東方沖
2025,12,9,00:23,37.8,41.06667,142.475,43,2.8,青森県東方沖
2025,12,9,00:24,29.7,35.35,136.19,10,0.9,滋賀県北部
2025,12,9,00:25,2.4,41.15333,143.23,20,2.2,青森県東方沖
2025,12,9,00:25,22.0,41.14833,142.25833,51,3.5,青森県東方沖
