year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,12,00:02,35.5,34.92667,136.87667,15,1.2,愛知県西部
2025,12,12,00:04,51.3,24.92833,123.92167,17,1.4,石垣島近海
2025,12,12,00:04,56.5,34.11333,135.08833,10,1.4,紀伊水道
2025,12,12,00:07,42.1,36.31833,143.99833,33,3.1,関東東方沖
2025,12,12,00:08,27.1,36.05167,137.68333,9,0.8,長野県中部
2025,12,12,00:08,53.8,40.98667,143.16,21,1.5,青森県東方沖
2025,12,12,00:09,17.4,36.05,137.685,9,-0.2,長野県中部
2025,12,12,00:10,52.1,34.945,129.635,16,1.2,福岡県北西沖
2025,12,12,00:11,44.8,37.57667,137.42,13,1.2,能登半島沖
2025,12,12,00:12,33.5,37.52667,137.25167,12,1.6,石川県能登地方
2025,12,12,00:12,49.5,37.52333,137.25167,11,1.4,石川県能登地方
2025,12,12,00:13,33.0,37.90667,141.695,55,2.4,宮城県沖
2025,12,12,00:15,54.1,36.66333,140.64333,9,1.0,茨城県北部
2025,12,12,00:19,39.9,23.22,120.62167,0,4.9,台湾付近
2025,12,12,00:20,31.8,40.43833,140.9,5,-0.1,青森県三八上北地方
2025,12,12,00:22,24.3,41.065,142.48667,41,1.7,青森県東方沖
2025,12,12,00:24,2.9,28.25833,129.48333,35,0.3,奄美大島近海
2025,12,12,00:26,33.4,31.97333,130.425,1,-0.2,鹿児島県薩摩地方
2025,12,12,00:27,24.4,34.08333,135.33,10,1.0,和歌山県北部
2025,12,12,00:28,41.2,40.79167,143.30167,6,2.2,青森県東方沖
2025,12,12,00:28,45.9,36.85,142.055,8,2.3,福島県沖
2025,12,12,00:31,1.1,33.84833,135.18667,27,0.2,和歌山県北部
2025,12,12,00:31,56.3,42.91667,143.30167,120,1.5,十勝地方中部
2025,12,12,00:32,34.6,35.29167,135.905,13,0.2,滋賀県北部
2025,12,12,00:32,41.1,41.05,143.06333,23,1.5,青森県東方沖
2025,12,12,00:33,16.9,40.99333,143.14167,21,1.9,青森県東方沖
2025,12,12,00:34,14.5,40.865,142.78167,34,1.1,青森県東方沖
2025,12,12,00:34,25.7,39.23667,143.75167,7,1.4,三陸沖
2025,12,12,00:38,6.6,32.56167,132.01,35,1.8,日向灘
2025,12,12,00:38,37.5,35.03333,135.64,11,0.9,京都府南部
2025,12,12,00:41,0.1,35.645,136.565,8,0.2,岐阜県美濃中西部
2025,12,12,00:49,9.8,32.7,130.73667,11,-0.3,熊本県熊本地方
2025,12,12,00:52,15.4,38.72833,141.55833,54,0.6,宮城県北部
2025,12,12,00:56,23.3,28.275,128.50333,72,1.1,奄美大島北西沖
2025,12,12,00:59,44.7,40.84167,143.18833,9,2.9,青森県東方沖
2025,12,12,01:00,44.3,36.78833,139.47667,3,1.7,栃木県北部
2025,12,12,01:03,8.3,27.54333,128.77333,36,1.2,沖縄本島近海
2025,12,12,01:08,37.8,41.2,142.555,37,1.2,青森県東方沖
2025,12,12,01:09,48.8,41.555,142.65667,29,1.7,青森県東方沖
2025,12,12,01:14,41.1,41.0,143.19167,17,1.2,青森県東方沖
2025,12,12,01:17,53.1,40.75833,142.55833,38,2.1,青森県東方沖
2025,12,12,01:19,2.1,24.21,125.10833,0,1.8,宮古島近海
2025,12,12,01:22,13.4,41.55167,142.66,29,2.5,青森県東方沖
2025,12,12,01:33,49.8,28.23667,129.57167,15,1.6,奄美大島近海
2025,12,12,01:33,53.0,40.89167,143.18333,18,1.3,青森県東方沖
2025,12,12,01:34,16.2,35.06333,135.83333,10,0.3,京都府南部
2025,12,12,01:39,46.0,34.93667,135.64667,9,0.3,京都府南部
2025,12,12,01:41,44.7,40.91167,143.085,19,1.6,青森県東方沖
2025,12,12,01:41,51.2,34.87,137.815,22,0.5,静岡県西部
2025,12,12,01:42,47.7,40.91333,143.07167,18,1.7,青森県東方沖
2025,12,12,01:46,15.4,40.43,140.895,5,0.5,秋田県内陸北部
2025,12,12,01:47,22.5,32.98833,131.13,8,0.8,熊本県阿蘇地方
2025,12,12,01:48,14.5,37.61667,141.35,74,2.7,福島県沖
2025,12,12,01:48,25.3,37.05,139.36667,7,0.5,福島県会津
2025,12,12,01:48,32.1,35.41,139.28667,14,0.8,神奈川県西部
2025,12,12,01:50,25.1,41.26,142.79,29,2.8,青森県東方沖
2025,12,12,01:53,37.0,41.265,142.79,29,1.5,青森県東方沖
2025,12,12,01:54,15.8,41.06167,142.47667,44,1.3,青森県東方沖
2025,12,12,01:54,50.9,36.5,141.01833,38,0.9,茨城県沖
2025,12,12,02:01,1.0,41.11,142.85667,27,2.1,青森県東方沖
2025,12,12,02:01,38.7,41.225,143.10167,21,1.8,青森県東方沖
2025,12,12,02:03,50.8,40.03,142.07,37,0.6,岩手県沖
2025,12,12,02:04,17.7,41.225,143.09667,23,4.0,青森県東方沖
2025,12,12,02:08,15.0,40.66167,141.195,19,1.0,青森県三八上北地方
2025,12,12,02:11,2.9,40.79667,142.48167,38,1.3,青森県東方沖
2025,12,12,02:11,47.5,40.80833,142.93167,11,1.5,青森県東方沖
2025,12,12,02:15,22.2,33.01833,131.14833,9,0.6,熊本県阿蘇地方
2025,12,12,02:18,49.0,37.29333,136.82833,11,1.2,石川県能登地方
2025,12,12,02:18,49.6,41.265,139.20333,14,-,青森県西方沖
2025,12,12,02:21,24.9,31.90667,130.14833,9,0.7,薩摩半島西方沖
2025,12,12,02:23,13.2,35.2,136.46333,16,0.8,三重県北部
2025,12,12,02:24,21.6,41.12,143.28667,11,1.9,青森県東方沖
2025,12,12,02:27,49.3,39.89667,142.23,28,0.9,岩手県沖
2025,12,12,02:28,24.9,41.10833,142.09667,54,1.9,青森県東方沖
2025,12,12,02:31,33.0,41.29833,142.67667,33,1.5,青森県東方沖
2025,12,12,02:35,51.3,41.18667,143.08333,24,1.6,青森県東方沖
2025,12,12,02:36,14.4,37.86,141.53833,48,1.3,福島県沖
2025,12,12,02:40,14.6,32.19833,129.85333,6,1.2,天草灘
2025,12,12,02:40,42.8,42.29667,144.18167,57,3.0,十勝沖
2025,12,12,02:42,48.2,41.02667,142.34,49,1.0,青森県東方沖
2025,12,12,02:43,13.7,37.82833,141.605,48,1.2,福島県沖
2025,12,12,02:43,30.2,37.83,141.59667,48,1.4,福島県沖
2025,12,12,02:44,7.4,41.185,142.58833,40,1.3,青森県東方沖
2025,12,12,02:47,26.1,36.195,141.04667,33,1.3,茨城県沖
2025,12,12,02:49,33.5,40.87,142.99,13,1.7,青森県東方沖
2025,12,12,02:55,38.7,37.855,141.57333,48,1.5,福島県沖
2025,12,12,02:57,55.6,33.645,135.48833,38,0.5,和歌山県南部
2025,12,12,03:01,16.3,35.99333,139.84333,32,1.1,千葉県北西部
2025,12,12,03:02,10.6,35.08167,135.69,14,0.7,京都府南部
2025,12,12,03:03,21.5,41.05667,142.91667,26,1.6,青森県東方沖
2025,12,12,03:09,27.1,41.84,142.73167,48,1.8,浦河沖
2025,12,12,03:09,33.0,38.42,142.15167,31,1.5,宮城県沖
2025,12,12,03:11,5.5,41.24667,142.81833,29,4.5,青森県東方沖
2025,12,12,03:13,52.1,28.03833,129.29,28,1.2,奄美大島近海
2025,12,12,03:16,28.9,32.4,130.67833,9,0.1,熊本県熊本地方
2025,12,12,03:17,5.2,36.50833,137.96167,12,0.2,長野県北部
2025,12,12,03:18,13.4,24.35,123.43667,24,1.5,西表島付近
2025,12,12,03:18,48.1,24.33667,123.44,22,1.4,西表島付近
2025,12,12,03:23,7.2,41.07167,142.535,42,1.0,青森県東方沖
2025,12,12,03:23,56.4,40.98,142.48333,41,1.4,青森県東方沖
2025,12,12,03:26,12.9,40.435,140.895,5,-0.1,青森県三八上北地方
2025,12,12,03:26,46.0,37.05,139.36667,6,0.8,福島県会津
2025,12,12,03:29,50.6,33.59167,135.495,14,0.6,和歌山県南部
2025,12,12,03:31,39.5,41.235,142.98333,21,2.2,青森県東方沖
2025,12,12,03:35,38.2,38.33333,142.195,37,1.2,宮城県沖
2025,12,12,03:36,30.4,32.85167,136.66333,35,1.8,和歌山県南方沖
2025,12,12,03:39,39.7,41.08833,142.535,39,1.9,青森県東方沖
2025,12,12,03:42,3.7,36.77167,140.57833,9,0.4,茨城県北部
2025,12,12,03:46,1.1,33.87833,135.005,10,1.6,紀伊水道
2025,12,12,03:48,32.6,33.91333,135.015,18,0.6,紀伊水道
2025,12,12,03:53,50.4,23.92,121.795,20,2.8,台湾付近
2025,12,12,03:54,57.1,42.84333,145.39,39,2.1,釧路沖
2025,12,12,03:56,15.5,35.59167,136.85667,6,1.0,岐阜県美濃中西部
2025,12,12,03:58,50.2,40.52333,139.895,178,2.9,青森県西方沖
2025,12,12,03:59,41.3,43.37,141.56333,7,2.9,石狩地方北部
2025,12,12,04:00,16.3,34.885,135.37833,4,0.6,兵庫県南東部
2025,12,12,04:01,23.5,28.34,130.33333,35,1.7,奄美大島近海
2025,12,12,04:04,20.4,35.87333,137.63,9,0.2,長野県南部
2025,12,12,04:04,48.3,36.00667,140.24167,41,0.9,茨城県南部
2025,12,12,04:05,9.9,43.37,141.55833,8,2.4,石狩地方北部
2025,12,12,04:06,6.6,36.92333,141.94333,8,1.9,福島県沖
2025,12,12,04:08,14.1,36.45,140.91833,38,1.2,茨城県沖
2025,12,12,04:09,29.2,40.665,143.65667,18,2.9,三陸沖
2025,12,12,04:09,54.7,37.385,141.99,30,1.6,福島県沖
2025,12,12,04:10,25.1,32.73333,129.66333,4,0.4,五島列島近海
2025,12,12,04:11,26.4,34.06,135.28,8,0.5,和歌山県北部
2025,12,12,04:19,7.9,40.825,142.90833,6,1.2,青森県東方沖
2025,12,12,04:19,52.3,40.78833,142.595,38,1.7,青森県東方沖
2025,12,12,04:19,55.0,32.61833,131.8,51,0.7,日向灘
2025,12,12,04:21,25.5,32.99833,131.09667,7,-0.1,熊本県阿蘇地方
2025,12,12,04:23,48.9,41.21,142.74333,32,1.2,青森県東方沖
2025,12,12,04:26,13.3,36.56167,139.37667,8,0.3,群馬県南部
2025,12,12,04:26,14.9,41.745,143.4,31,1.6,十勝沖
2025,12,12,04:28,30.3,32.98167,131.11,9,0.2,熊本県阿蘇地方
2025,12,12,04:31,5.2,31.97167,141.68833,0,-,鳥島近海
2025,12,12,04:32,34.4,36.59,137.79,3,0.3,長野県北部
2025,12,12,04:35,43.1,40.87667,143.19,17,1.5,青森県東方沖
2025,12,12,04:39,12.4,37.72167,141.59667,48,2.3,福島県沖
2025,12,12,04:42,10.5,37.36,142.13,24,2.0,福島県沖
2025,12,12,04:46,5.6,40.43,140.895,4,0.5,秋田県内陸北部
2025,12,12,04:47,27.2,37.89833,141.67833,54,1.3,宮城県沖
