year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,14,00:04,28.8,41.05,142.47833,42,2.1,青森県東方沖
2025,12,14,00:05,5.7,40.925,142.93,16,1.4,青森県東方沖
2025,12,14,00:06,0.6,37.12167,141.98833,25,1.4,福島県沖
2025,12,14,00:07,6.1,40.76833,142.54833,35,0.7,青森県東方沖
2025,12,14,00:07,44.1,40.9,143.065,15,1.6,青森県東方沖
2025,12,14,00:08,19.7,40.96667,142.94,19,1.5,青森県東方沖
2025,12,14,00:10,53.8,37.89167,141.58667,49,0.8,宮城県沖
2025,12,14,00:12,12.7,33.06,130.25333,10,0.6,有明海
2025,12,14,00:13,24.4,33.0,131.11333,12,0.2,熊本県阿蘇地方
2025,12,14,00:13,38.4,42.10167,144.205,29,1.4,十勝沖
2025,12,14,00:13,51.2,37.33167,136.81,13,0.7,石川県能登地方
2025,12,14,00:15,20.6,32.43667,131.37667,14,0.7,宮崎県北部山沿い
2025,12,14,00:15,48.8,40.99833,142.97167,19,1.3,青森県東方沖
2025,12,14,00:15,59.4,35.59,136.65333,12,0.1,岐阜県美濃中西部
2025,12,14,00:18,19.0,33.28333,135.10333,31,0.7,和歌山県南方沖
2025,12,14,00:19,41.8,35.68,136.63,11,-0.1,岐阜県美濃中西部
2025,12,14,00:19,46.3,34.87833,135.405,13,0.2,兵庫県南東部
2025,12,14,00:24,34.4,40.875,142.98667,14,1.1,青森県東方沖
2025,12,14,00:24,57.5,32.67,130.70333,16,0.7,熊本県熊本地方
2025,12,14,00:25,21.0,32.275,130.76333,9,0.1,熊本県球磨地方
2025,12,14,00:25,51.9,40.94667,142.91833,16,1.6,青森県東方沖
2025,12,14,00:26,9.2,35.48,139.04667,15,0.1,神奈川県西部
2025,12,14,00:27,46.0,40.885,143.00667,12,1.3,青森県東方沖
2025,12,14,00:28,10.1,32.03333,130.94667,8,0.7,宮崎県南部山沿い
2025,12,14,00:29,58.7,40.73833,142.12667,55,3.1,青森県東方沖
2025,12,14,00:34,9.3,40.84167,143.01167,12,1.6,青森県東方沖
2025,12,14,00:34,28.1,33.0,131.11333,13,0.5,熊本県阿蘇地方
2025,12,14,00:34,30.8,39.06333,140.865,7,0.2,岩手県内陸南部
2025,12,14,00:34,59.1,34.85667,137.515,34,0.4,愛知県東部
2025,12,14,00:35,13.4,35.95333,136.34833,9,0.8,福井県嶺北
2025,12,14,00:37,6.7,33.34833,135.92833,25,0.7,和歌山県南方沖
2025,12,14,00:37,15.1,40.94333,142.915,18,1.7,青森県東方沖
2025,12,14,00:37,58.3,34.455,140.41167,49,1.9,房総半島南方沖
2025,12,14,00:39,1.5,40.93333,143.00667,17,1.2,青森県東方沖
2025,12,14,00:41,21.1,36.17667,140.11333,65,1.0,茨城県南部
2025,12,14,00:41,33.9,40.98333,142.96667,20,1.4,青森県東方沖
2025,12,14,00:44,17.3,40.97,143.00667,16,1.2,青森県東方沖
2025,12,14,00:45,56.8,41.04833,142.41167,40,0.5,青森県東方沖
2025,12,14,00:45,58.9,36.08333,138.02833,6,0.1,長野県中部
2025,12,14,00:46,20.7,34.79167,137.62167,18,0.5,静岡県西部
2025,12,14,00:46,39.5,41.02167,143.04333,17,1.5,青森県東方沖
2025,12,14,00:48,8.5,32.26333,131.25333,64,-,宮崎県北部平野部
2025,12,14,00:48,9.5,37.96833,142.425,44,1.1,宮城県沖
2025,12,14,00:48,21.5,41.205,143.045,29,1.2,青森県東方沖
2025,12,14,00:49,38.1,32.06,131.84833,25,1.1,日向灘
2025,12,14,00:50,35.1,41.08333,142.42833,42,1.0,青森県東方沖
2025,12,14,00:52,13.2,40.88,143.19333,10,1.2,青森県東方沖
2025,12,14,00:52,58.4,40.92,143.04667,14,1.9,青森県東方沖
2025,12,14,00:56,53.6,40.94833,143.06833,17,1.3,青森県東方沖
2025,12,14,00:57,17.7,40.02833,140.53,7,0.5,秋田県内陸北部
2025,12,14,00:57,24.8,36.17,140.105,65,0.3,茨城県南部
2025,12,14,00:57,31.8,41.06,142.545,36,1.2,青森県東方沖
2025,12,14,00:57,44.2,43.83667,147.96833,72,2.7,択捉島南東沖
2025,12,14,00:58,47.8,40.86,143.05167,10,1.2,青森県東方沖
2025,12,14,00:59,10.1,40.91,142.97,18,1.3,青森県東方沖
2025,12,14,01:00,50.2,36.51667,139.59167,6,-0.4,栃木県南部
2025,12,14,01:01,54.0,44.26,148.92,30,-,択捉島南東沖
2025,12,14,01:03,59.8,40.86667,143.035,14,2.0,青森県東方沖
2025,12,14,01:05,16.8,40.89,142.95833,15,1.2,青森県東方沖
2025,12,14,01:06,55.0,41.375,142.14667,51,0.7,青森県東方沖
2025,12,14,01:07,7.9,34.82333,137.38167,36,-,愛知県東部
2025,12,14,01:08,7.0,35.055,138.07667,34,0.3,静岡県中部
2025,12,14,01:08,17.7,39.97333,141.69333,11,-0.2,岩手県沿岸北部
2025,12,14,01:11,6.5,40.92,142.915,18,1.2,青森県東方沖
2025,12,14,01:12,7.4,41.19333,142.655,38,1.4,青森県東方沖
2025,12,14,01:13,34.5,36.40667,138.00833,11,0.0,長野県中部
2025,12,14,01:14,28.0,40.8,143.05333,12,1.0,青森県東方沖
2025,12,14,01:16,25.4,41.23833,143.00167,27,-,青森県東方沖
2025,12,14,01:17,13.6,40.89833,143.04333,18,1.2,青森県東方沖
2025,12,14,01:22,31.8,32.68333,130.74,14,0.2,熊本県熊本地方
2025,12,14,01:24,30.9,40.80833,142.94667,10,1.5,青森県東方沖
2025,12,14,01:25,13.6,40.94,143.035,15,1.2,青森県東方沖
2025,12,14,01:26,25.3,34.79,137.62833,18,0.3,静岡県西部
2025,12,14,01:26,34.3,40.93833,143.07667,20,0.8,青森県東方沖
2025,12,14,01:27,58.8,37.86,142.17333,36,1.4,宮城県沖
2025,12,14,01:28,58.0,40.945,143.00833,19,0.8,青森県東方沖
2025,12,14,01:29,5.9,33.85333,134.99333,12,0.7,紀伊水道
2025,12,14,01:29,18.0,40.93,142.94167,17,2.0,青森県東方沖
2025,12,14,01:29,45.0,37.345,136.88,13,0.8,石川県能登地方
2025,12,14,01:31,9.2,40.90833,143.06667,14,1.5,青森県東方沖
2025,12,14,01:31,38.8,39.64,142.26167,32,0.9,岩手県沖
2025,12,14,01:31,55.4,40.99,142.98,17,1.8,青森県東方沖
2025,12,14,01:33,28.2,40.92833,142.93,21,1.1,青森県東方沖
2025,12,14,01:34,9.9,40.90333,142.93167,14,1.3,青森県東方沖
2025,12,14,01:35,1.7,40.715,142.27667,48,0.9,青森県東方沖
2025,12,14,01:35,21.4,39.23,142.99667,12,1.1,三陸沖
2025,12,14,01:37,12.4,41.42,142.15333,50,1.0,青森県東方沖
2025,12,14,01:37,26.4,32.03833,130.945,9,0.6,宮崎県南部山沿い
2025,12,14,01:39,11.3,40.97833,142.96667,17,1.5,青森県東方沖
2025,12,14,01:39,40.1,35.50833,135.705,12,0.3,若狭湾
2025,12,14,01:46,4.4,37.29167,136.815,9,0.8,石川県能登地方
2025,12,14,01:46,9.7,27.97833,127.925,132,2.1,沖縄本島北西沖
2025,12,14,01:47,8.9,38.11833,141.72667,57,2.3,宮城県沖
2025,12,14,01:47,9.9,40.44167,140.89,5,0.3,青森県三八上北地方
2025,12,14,01:52,9.0,40.87,143.01,13,1.6,青森県東方沖
2025,12,14,01:52,18.0,35.81667,137.49167,7,0.5,長野県南部
2025,12,14,01:52,37.7,38.04,144.88667,30,2.5,三陸沖
2025,12,14,01:53,53.4,37.69167,142.11,35,1.6,福島県沖
2025,12,14,01:54,6.3,32.43167,131.375,14,0.4,宮崎県北部山沿い
2025,12,14,01:54,14.6,38.16667,142.47333,27,1.4,宮城県沖
2025,12,14,01:56,38.5,40.955,143.00167,18,2.2,青森県東方沖
2025,12,14,01:57,3.1,41.29833,142.59667,39,1.5,青森県東方沖
2025,12,14,01:59,17.9,37.29667,136.8,11,0.7,石川県能登地方
2025,12,14,01:59,43.8,39.58833,143.53167,12,3.2,三陸沖
2025,12,14,02:04,47.7,37.69667,142.09667,38,1.0,福島県沖
2025,12,14,02:04,59.9,40.96,143.09667,12,0.9,青森県東方沖
