year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,11,00:00,24.4,34.925,136.87667,15,0.9,愛知県西部
2025,12,11,00:01,8.9,32.98333,131.12333,9,0.4,熊本県阿蘇地方
2025,12,11,00:04,3.0,34.05333,135.26667,7,0.4,和歌山県北部
2025,12,11,00:04,25.2,37.135,136.66,7,1.4,能登半島沖
2025,12,11,00:06,45.9,36.45833,137.86833,11,-0.2,長野県北部
2025,12,11,00:07,38.0,42.45333,145.00333,28,1.5,釧路沖
2025,12,11,00:07,44.2,31.15,130.38167,143,2.5,薩摩半島西方沖
2025,12,11,00:08,10.6,37.06167,140.77,90,1.0,福島県浜通り
2025,12,11,00:09,2.0,37.24,142.25167,22,2.0,福島県沖
2025,12,11,00:10,6.1,40.98667,142.725,30,1.2,青森県東方沖
2025,12,11,00:15,16.1,41.21167,142.63667,37,0.8,青森県東方沖
2025,12,11,00:19,17.0,38.1,141.92,40,0.7,宮城県沖
2025,12,11,00:19,19.2,37.13,136.65667,5,0.7,能登半島沖
2025,12,11,00:19,54.1,37.13167,136.65167,4,0.8,能登半島沖
2025,12,11,00:22,43.4,32.98333,131.12667,9,-0.5,熊本県阿蘇地方
2025,12,11,00:25,5.4,36.89,140.54,7,0.0,福島県中通り
2025,12,11,00:25,17.1,37.07167,136.40167,7,1.0,石川県西方沖
2025,12,11,00:25,44.2,30.29833,130.89667,8,1.7,種子島近海
2025,12,11,00:29,13.2,39.12,144.77,16,2.0,三陸沖
2025,12,11,00:29,15.2,40.73833,142.14167,53,1.3,青森県東方沖
2025,12,11,00:29,49.0,35.62167,140.105,70,1.7,千葉県北西部
2025,12,11,00:30,32.7,37.345,142.155,25,1.3,福島県沖
2025,12,11,00:32,39.9,41.19,142.635,38,1.5,青森県東方沖
2025,12,11,00:36,2.7,40.535,141.71333,21,2.7,青森県東方沖
2025,12,11,00:37,27.6,33.86167,134.63167,9,0.1,徳島県南部
2025,12,11,00:37,40.6,35.50167,136.37167,13,1.2,滋賀県北部
2025,12,11,00:38,31.2,41.035,142.215,51,1.5,青森県東方沖
2025,12,11,00:39,15.6,36.92333,140.42167,103,0.7,福島県中通り
2025,12,11,00:40,7.6,40.84667,143.0,14,1.7,青森県東方沖
2025,12,11,00:42,27.6,33.59667,130.24833,13,1.4,福岡県福岡地方
2025,12,11,00:42,31.9,41.18,142.29667,49,1.3,青森県東方沖
2025,12,11,00:42,52.2,42.45667,144.98167,24,-,釧路沖
2025,12,11,00:43,57.5,41.18667,142.64,32,0.9,青森県東方沖
2025,12,11,00:46,6.7,34.18333,139.30333,10,1.6,新島・神津島近海
2025,12,11,00:46,13.9,36.32167,140.02167,74,0.5,茨城県南部
2025,12,11,00:50,15.1,36.15167,137.99833,11,0.3,長野県中部
2025,12,11,00:50,28.8,35.4,133.84333,10,2.2,鳥取県中部
2025,12,11,00:55,44.6,36.77333,143.925,24,1.7,関東東方沖
2025,12,11,00:58,22.0,41.055,142.52,40,1.2,青森県東方沖
2025,12,11,00:58,40.1,33.92,135.48833,51,0.0,和歌山県南部
2025,12,11,00:59,41.3,37.92833,137.71833,24,2.1,佐渡付近
2025,12,11,00:59,45.1,35.575,136.32667,11,2.3,滋賀県北部
2025,12,11,01:05,35.8,41.17,142.565,41,1.1,青森県東方沖
2025,12,11,01:05,51.2,33.84667,133.62667,8,0.3,高知県中部
2025,12,11,01:06,20.5,32.34667,132.05333,22,0.5,日向灘
2025,12,11,01:09,49.7,40.95,143.09667,18,1.3,青森県東方沖
2025,12,11,01:10,43.2,40.875,142.77833,34,1.3,青森県東方沖
2025,12,11,01:12,14.7,32.98167,131.11167,10,1.2,熊本県阿蘇地方
2025,12,11,01:15,56.3,39.11833,143.28,13,1.6,三陸沖
2025,12,11,01:16,4.4,40.76333,143.325,6,1.4,青森県東方沖
2025,12,11,01:16,55.7,32.705,129.99333,14,0.7,橘湾
2025,12,11,01:17,25.7,40.995,142.99833,22,1.5,青森県東方沖
2025,12,11,01:17,36.4,39.12167,143.27833,7,1.2,三陸沖
2025,12,11,01:18,33.0,29.34333,129.52167,12,0.7,トカラ列島近海
2025,12,11,01:23,28.1,34.14167,135.32833,7,-0.1,和歌山県北部
2025,12,11,01:25,47.1,40.96,143.12333,19,1.0,青森県東方沖
2025,12,11,01:28,6.7,32.69667,132.615,27,0.3,四国沖
2025,12,11,01:29,33.1,36.67167,142.03167,16,1.1,福島県沖
2025,12,11,01:30,44.5,39.43833,142.72,30,2.4,岩手県沖
2025,12,11,01:30,54.4,24.33833,122.985,48,3.1,与那国島近海
2025,12,11,01:35,43.1,36.605,141.04167,29,1.4,茨城県沖
2025,12,11,01:36,18.5,36.10333,140.00833,69,1.2,茨城県南部
2025,12,11,01:36,54.6,32.03,130.94167,8,0.2,宮崎県南部山沿い
2025,12,11,01:38,38.0,36.60667,139.41833,8,0.3,群馬県南部
2025,12,11,01:39,2.4,35.935,137.75667,8,-0.2,長野県南部
2025,12,11,01:40,33.6,37.62,141.585,55,1.1,福島県沖
2025,12,11,01:48,7.8,40.79833,142.47,40,1.3,青森県東方沖
2025,12,11,01:50,23.4,28.76833,130.33333,55,1.1,奄美大島北東沖
2025,12,11,01:50,53.3,35.46,138.96333,21,0.1,神奈川県西部
2025,12,11,01:51,29.3,32.01667,131.95667,22,0.8,日向灘
2025,12,11,01:53,1.5,41.05667,143.21333,18,2.0,青森県東方沖
2025,12,11,01:54,37.4,40.88333,143.105,18,-,青森県東方沖
2025,12,11,01:54,51.7,41.00333,143.22,18,1.2,青森県東方沖
2025,12,11,01:55,6.7,37.22,142.17833,20,1.1,福島県沖
2025,12,11,01:55,33.7,40.79333,142.58167,37,1.7,青森県東方沖
2025,12,11,01:56,41.9,34.16667,139.33,8,1.0,三宅島近海
2025,12,11,01:57,6.2,34.18167,139.30667,8,1.4,三宅島近海
2025,12,11,01:59,39.0,32.66833,131.97167,39,0.1,日向灘
2025,12,11,02:00,4.6,40.855,142.76833,30,0.8,青森県東方沖
2025,12,11,02:01,2.7,40.9,143.09167,16,1.7,青森県東方沖
2025,12,11,02:02,3.9,37.25167,142.26333,20,1.3,福島県沖
2025,12,11,02:07,36.8,41.19833,142.575,38,1.4,青森県東方沖
2025,12,11,02:07,46.5,33.75167,135.11833,40,0.3,紀伊水道
2025,12,11,02:07,50.5,40.065,140.545,8,1.0,秋田県内陸北部
2025,12,11,02:10,25.0,35.47833,139.03833,16,0.7,神奈川県西部
2025,12,11,02:11,16.8,40.78667,142.45333,45,2.1,青森県東方沖
2025,12,11,02:13,37.2,32.47833,131.445,15,0.0,宮崎県北部山沿い
2025,12,11,02:14,35.8,40.89833,143.1,15,1.1,青森県東方沖
2025,12,11,02:17,36.3,39.61167,140.645,7,1.3,秋田県内陸南部
2025,12,11,02:18,15.6,40.815,142.93333,18,2.0,青森県東方沖
2025,12,11,02:18,41.1,32.25833,129.83833,12,0.4,天草灘
2025,12,11,02:19,39.7,40.99167,143.19833,18,1.4,青森県東方沖
2025,12,11,02:20,4.6,33.02833,131.15667,7,0.1,熊本県阿蘇地方
2025,12,11,02:21,13.7,34.44833,141.16833,29,1.9,千葉県南東沖
2025,12,11,02:21,30.8,34.39167,136.6,33,0.1,三重県南部
2025,12,11,02:23,8.2,41.05167,142.42667,45,0.7,青森県東方沖
2025,12,11,02:24,17.8,39.07667,143.575,16,1.8,三陸沖
2025,12,11,02:24,51.9,37.58667,137.51,15,1.2,新潟県上中越沖
