year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,21,00:02,24.7,41.09167,142.59167,37,1.5,青森県東方沖
2025,12,21,00:03,10.7,29.35667,129.5,9,1.7,トカラ列島近海
2025,12,21,00:06,2.8,40.98,142.965,17,1.3,青森県東方沖
2025,12,21,00:06,30.5,32.27333,131.73167,31,1.8,日向灘
2025,12,21,00:06,34.8,42.28,144.50333,18,1.4,釧路沖
2025,12,21,00:07,24.6,40.90167,142.94333,10,1.0,青森県東方沖
2025,12,21,00:10,53.1,36.705,140.60667,8,-0.1,茨城県北部
2025,12,21,00:13,8.9,35.82,140.92,27,1.4,千葉県東方沖
2025,12,21,00:15,40.7,24.76167,125.26333,46,1.3,宮古島近海
2025,12,21,00:16,3.4,40.905,143.25667,25,1.1,青森県東方沖
2025,12,21,00:17,34.1,41.19833,142.87667,30,1.0,青森県東方沖
2025,12,21,00:17,39.9,35.67833,136.28333,12,0.7,福井県嶺北
2025,12,21,00:20,44.7,37.03667,140.96667,84,1.0,福島県浜通り
2025,12,21,00:21,39.3,36.12167,137.65167,8,0.1,長野県中部
2025,12,21,00:22,3.2,41.08333,142.40333,46,2.6,青森県東方沖
2025,12,21,00:22,41.0,31.47167,131.575,29,1.8,大隅半島東方沖
2025,12,21,00:24,36.5,34.08333,135.775,48,0.8,奈良県
2025,12,21,00:25,53.2,32.875,130.885,13,0.4,熊本県熊本地方
2025,12,21,00:26,30.7,37.28167,138.00333,22,0.9,新潟県上中越沖
2025,12,21,00:28,55.9,26.395,127.06333,19,2.2,沖縄本島近海
2025,12,21,00:30,22.7,25.06833,123.66833,24,2.3,石垣島北西沖
2025,12,21,00:31,17.1,35.52,134.695,8,-0.1,兵庫県北部
2025,12,21,00:34,33.7,43.055,147.125,10,2.4,北海道東方沖
2025,12,21,00:35,14.6,43.86167,147.57167,119,2.5,北海道東方沖
2025,12,21,00:35,36.7,36.535,139.42,10,0.2,群馬県南部
2025,12,21,00:36,54.5,42.09833,142.675,50,1.3,浦河沖
2025,12,21,00:37,54.7,34.89167,134.795,16,0.3,兵庫県南西部
2025,12,21,00:42,5.0,29.54167,129.62,7,1.9,トカラ列島近海
2025,12,21,00:48,10.4,34.06833,133.43,13,0.4,瀬戸内海中部
2025,12,21,00:48,12.3,24.34,123.68,21,0.3,西表島付近
2025,12,21,00:48,35.2,24.33,123.67667,19,0.0,西表島付近
2025,12,21,00:56,5.5,29.53667,129.61833,8,2.1,トカラ列島近海
2025,12,21,00:56,54.8,34.06833,133.435,12,0.5,瀬戸内海中部
2025,12,21,00:56,56.5,36.265,137.56333,25,0.2,岐阜県飛騨地方
2025,12,21,00:57,19.0,34.07333,133.43,13,1.0,瀬戸内海中部
2025,12,21,00:59,20.2,37.26333,142.10167,27,1.2,福島県沖
2025,12,21,01:02,19.5,35.29,138.32,33,0.5,静岡県中部
2025,12,21,01:09,21.8,33.73,135.68,37,0.0,和歌山県南部
2025,12,21,01:15,44.1,43.63167,147.27167,50,2.8,北海道東方沖
2025,12,21,01:17,38.1,37.025,141.96333,22,1.2,福島県沖
2025,12,21,01:18,0.3,25.075,123.65667,36,1.3,石垣島北西沖
2025,12,21,01:18,53.7,25.085,123.665,37,1.3,石垣島北西沖
2025,12,21,01:21,10.7,40.98833,142.995,20,1.0,青森県東方沖
2025,12,21,01:23,14.4,28.35833,129.53,36,1.3,奄美大島近海
2025,12,21,01:25,0.5,40.89833,142.92833,13,1.5,青森県東方沖
2025,12,21,01:32,33.9,35.905,140.24167,39,0.5,茨城県南部
2025,12,21,01:33,4.5,43.22833,142.80667,10,0.3,十勝地方北部
2025,12,21,01:33,28.9,33.98,136.59333,15,1.4,三重県南東沖
2025,12,21,01:42,32.0,36.53333,141.03833,50,1.6,茨城県沖
2025,12,21,01:42,45.7,25.04,123.66167,33,1.3,石垣島北西沖
2025,12,21,01:57,12.7,33.58,135.585,10,0.1,和歌山県南部
2025,12,21,01:57,15.5,45.03,142.16333,0,1.8,宗谷地方北部
2025,12,21,01:57,29.0,37.845,141.58167,49,1.7,福島県沖
2025,12,21,01:57,56.1,37.05167,136.62667,8,2.0,石川県西方沖
2025,12,21,01:59,20.9,29.35667,129.48333,8,1.7,トカラ列島近海
2025,12,21,02:04,59.8,40.895,142.99167,13,2.0,青森県東方沖
2025,12,21,02:06,25.6,40.9,142.98833,6,2.0,青森県東方沖
2025,12,21,02:07,1.6,33.51833,129.82167,8,0.2,壱岐・対馬近海
2025,12,21,02:09,21.8,33.735,135.15,41,0.4,紀伊水道
2025,12,21,02:11,5.2,45.025,142.14667,0,0.9,宗谷地方北部
2025,12,21,02:12,44.5,35.92333,137.61167,9,0.1,長野県南部
2025,12,21,02:13,13.9,40.96833,142.88833,17,1.9,青森県東方沖
2025,12,21,02:13,53.7,34.98667,137.79,22,0.0,静岡県西部
2025,12,21,02:14,28.6,41.05333,142.44,43,1.3,青森県東方沖
2025,12,21,02:14,30.5,40.445,143.59333,13,2.4,三陸沖
2025,12,21,02:15,12.6,44.07167,142.72833,204,-,上川地方北部
2025,12,21,02:17,15.2,42.79,145.05167,49,1.7,釧路沖
2025,12,21,02:18,46.7,37.86833,141.785,59,1.2,宮城県沖
2025,12,21,02:19,48.5,39.16333,143.46667,15,2.7,三陸沖
2025,12,21,02:22,23.8,24.83,125.39833,49,3.2,宮古島近海
2025,12,21,02:30,40.2,35.66667,139.27,144,1.7,東京都多摩東部
2025,12,21,02:34,1.8,42.77333,139.42333,29,-,北海道南西沖
2025,12,21,02:37,57.3,40.42167,143.72167,9,1.3,三陸沖
2025,12,21,02:38,27.1,35.79167,140.93333,13,1.2,千葉県東方沖
2025,12,21,02:40,38.8,41.11,142.38667,46,1.1,青森県東方沖
