year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,10,00:00,9.7,40.69167,143.68667,18,2.0,三陸沖
2025,12,10,00:01,37.3,41.68833,141.47667,100,1.2,苫小牧沖
2025,12,10,00:03,3.2,33.85333,135.40833,45,0.4,和歌山県北部
2025,12,10,00:03,59.2,34.18,139.29,13,1.7,新島・神津島近海
2025,12,10,00:04,43.9,41.21333,142.53,37,1.4,青森県東方沖
2025,12,10,00:05,10.1,35.43167,136.29333,13,0.1,滋賀県北部
2025,12,10,00:05,55.6,41.17667,142.275,49,1.6,青森県東方沖
2025,12,10,00:06,16.6,41.04333,142.55167,40,2.4,青森県東方沖
2025,12,10,00:08,11.2,31.47833,130.58667,10,0.3,鹿児島湾
2025,12,10,00:08,39.6,40.85333,143.18,12,1.5,青森県東方沖
2025,12,10,00:10,51.6,36.71833,140.60167,7,0.4,茨城県北部
2025,12,10,00:11,7.8,36.38667,141.045,38,1.1,茨城県沖
2025,12,10,00:11,29.4,34.19,139.295,11,2.0,新島・神津島近海
2025,12,10,00:13,8.5,31.4,131.09833,52,1.4,大隅半島東方沖
2025,12,10,00:15,12.5,34.28,139.15667,11,1.2,新島・神津島近海
2025,12,10,00:16,50.4,36.04667,140.09167,64,1.2,茨城県南部
2025,12,10,00:18,48.5,41.04667,142.90167,25,2.0,青森県東方沖
2025,12,10,00:19,20.8,36.28167,136.90333,7,0.9,岐阜県飛騨地方
2025,12,10,00:24,23.8,41.195,143.18833,17,2.0,青森県東方沖
2025,12,10,00:24,26.0,34.27,139.16667,10,1.4,新島・神津島近海
2025,12,10,00:25,5.4,35.105,135.18667,8,0.3,兵庫県南東部
2025,12,10,00:27,0.8,41.09167,142.525,37,1.6,青森県東方沖
2025,12,10,00:28,10.3,41.17833,142.60833,38,1.3,青森県東方沖
2025,12,10,00:30,7.8,40.855,143.17833,16,2.8,青森県東方沖
2025,12,10,00:30,27.6,34.255,139.21667,0,1.6,新島・神津島近海
2025,12,10,00:30,32.8,37.60333,138.58833,23,1.2,新潟県上中越沖
2025,12,10,00:31,46.6,41.01333,142.24167,48,1.3,青森県東方沖
2025,12,10,00:33,35.9,34.28,139.17333,8,1.3,新島・神津島近海
2025,12,10,00:34,10.2,40.90333,143.16833,21,1.2,青森県東方沖
2025,12,10,00:34,27.0,28.20667,130.12667,46,1.1,奄美大島近海
2025,12,10,00:35,44.4,34.18333,135.09333,9,0.0,紀伊水道
2025,12,10,00:36,0.4,33.70333,130.22333,6,-0.1,福岡県北西沖
2025,12,10,00:36,1.6,41.24833,142.41,45,1.6,青森県東方沖
2025,12,10,00:38,10.4,23.97167,123.57167,31,1.3,西表島付近
2025,12,10,00:40,44.1,41.14833,143.17167,21,2.3,青森県東方沖
2025,12,10,00:41,8.5,32.64333,130.69833,7,0.4,熊本県熊本地方
2025,12,10,00:41,19.9,34.18833,139.29333,12,2.5,新島・神津島近海
2025,12,10,00:44,21.6,34.18333,139.29333,12,2.1,新島・神津島近海
2025,12,10,00:44,24.2,33.00167,131.09833,8,0.0,熊本県阿蘇地方
2025,12,10,00:44,54.5,36.23667,139.06167,23,0.0,群馬県南部
2025,12,10,00:45,12.4,34.18667,139.29333,11,1.9,新島・神津島近海
2025,12,10,00:46,5.1,35.12,138.18667,14,0.2,静岡県中部
2025,12,10,00:49,21.1,34.185,139.305,9,1.8,新島・神津島近海
2025,12,10,00:49,38.2,41.27167,142.89833,29,2.4,青森県東方沖
2025,12,10,00:52,7.9,41.14833,143.17,24,1.2,青森県東方沖
2025,12,10,00:52,19.3,33.50333,135.605,24,1.1,和歌山県南方沖
2025,12,10,00:52,47.2,39.865,142.19667,7,0.8,岩手県沖
2025,12,10,00:53,3.6,34.19333,139.29833,11,1.1,新島・神津島近海
2025,12,10,00:53,31.0,32.64833,130.65,8,-0.3,熊本県天草・芦北地方
2025,12,10,00:54,7.2,40.80833,142.57833,37,1.7,青森県東方沖
2025,12,10,00:58,26.1,33.30333,135.445,27,1.2,和歌山県南方沖
2025,12,10,00:59,20.1,33.01667,131.14667,9,0.3,熊本県阿蘇地方
2025,12,10,01:04,13.2,33.23333,132.3,42,1.1,豊後水道
2025,12,10,01:07,27.9,41.00167,142.26167,49,1.1,青森県東方沖
2025,12,10,01:09,39.8,40.06,142.06833,38,1.1,岩手県沖
2025,12,10,01:10,35.8,29.35167,129.51667,11,1.5,トカラ列島近海
2025,12,10,01:13,28.8,41.27167,142.91667,20,1.4,青森県東方沖
2025,12,10,01:13,55.7,35.44167,133.97,9,1.1,鳥取県東部
2025,12,10,01:16,20.0,37.99667,142.25833,33,1.2,宮城県沖
2025,12,10,01:19,28.6,36.54667,139.39833,6,0.2,群馬県南部
2025,12,10,01:20,22.0,41.55,143.88833,10,1.7,十勝沖
2025,12,10,01:20,34.9,34.105,135.14833,5,-0.3,和歌山県北部
2025,12,10,01:21,44.2,41.085,143.25,13,1.4,青森県東方沖
2025,12,10,01:23,33.2,40.8,142.46833,37,1.0,青森県東方沖
2025,12,10,01:26,22.3,34.05333,135.39667,6,-0.1,和歌山県北部
2025,12,10,01:26,45.3,41.05833,142.47333,42,1.9,青森県東方沖
2025,12,10,01:28,11.2,40.99,143.16,19,3.0,青森県東方沖
2025,12,10,01:28,20.4,31.375,129.44167,5,0.5,薩摩半島西方沖
2025,12,10,01:29,21.1,44.21833,149.29167,30,3.6,択捉島南東沖
2025,12,10,01:29,41.5,34.18333,139.29333,10,1.2,新島・神津島近海
2025,12,10,01:29,58.4,40.99667,143.16,19,1.8,青森県東方沖
2025,12,10,01:32,12.3,36.4,138.95333,15,0.5,群馬県南部
2025,12,10,01:33,38.6,41.28667,142.58667,41,2.4,青森県東方沖
2025,12,10,01:33,59.8,39.57333,143.41667,12,2.0,三陸沖
2025,12,10,01:34,29.1,34.00333,135.22667,10,0.4,和歌山県北部
2025,12,10,01:34,54.7,41.16,143.15667,26,2.3,青森県東方沖
2025,12,10,01:37,48.9,34.19333,139.29667,17,1.2,新島・神津島近海
2025,12,10,01:40,0.8,41.09,143.16667,19,2.4,青森県東方沖
2025,12,10,01:42,49.0,35.325,139.07667,16,0.2,神奈川県西部
2025,12,10,01:46,29.8,35.795,141.32833,39,1.0,千葉県東方沖
2025,12,10,01:46,34.7,32.65833,129.775,9,0.9,五島列島近海
2025,12,10,01:47,9.6,41.20667,143.11,18,1.2,青森県東方沖
2025,12,10,01:47,38.3,32.99333,131.125,9,1.5,熊本県阿蘇地方
2025,12,10,01:51,5.6,40.185,140.27667,13,0.4,秋田県沿岸北部
2025,12,10,01:53,19.2,32.99667,131.09833,9,0.1,熊本県阿蘇地方
2025,12,10,01:53,22.1,38.98333,142.4,26,1.1,宮城県沖
2025,12,10,01:54,27.0,27.87,129.00333,45,0.8,奄美大島近海
2025,12,10,01:57,55.3,43.32667,145.97,51,1.6,根室半島南東沖
2025,12,10,01:58,50.6,40.99833,143.2,18,2.0,青森県東方沖
2025,12,10,02:00,34.4,38.30167,138.10833,14,1.0,佐渡付近
2025,12,10,02:01,38.5,37.185,141.38167,43,0.8,福島県沖
2025,12,10,02:01,59.0,40.205,143.38167,10,1.4,三陸沖
2025,12,10,02:04,13.3,39.19167,142.425,30,0.9,岩手県沖
2025,12,10,02:05,24.1,40.84167,143.02333,12,1.6,青森県東方沖
2025,12,10,02:08,36.9,41.005,143.20833,19,1.7,青森県東方沖
2025,12,10,02:08,54.7,41.165,142.58,41,1.4,青森県東方沖
2025,12,10,02:10,5.3,36.50333,141.15833,39,1.0,茨城県沖
2025,12,10,02:10,30.4,39.455,143.41333,8,1.6,三陸沖
2025,12,10,02:11,30.8,37.67,141.61167,54,0.7,福島県沖
2025,12,10,02:13,0.7,34.20167,139.295,16,1.7,新島・神津島近海
2025,12,10,02:13,30.8,34.19333,139.3,10,1.3,新島・神津島近海
2025,12,10,02:14,40.7,41.365,142.16667,51,1.2,青森県東方沖
2025,12,10,02:17,0.6,40.91,143.10333,17,1.6,青森県東方沖
2025,12,10,02:19,34.3,40.785,142.45667,44,1.9,青森県東方沖
