year,month,day,time_hm,second,latitude,longitude,depth_km,magnitude,region
2025,12,18,00:00,31.2,37.86833,141.68833,55,1.3,宮城県沖
2025,12,18,00:02,30.7,36.62667,140.59667,57,1.0,茨城県北部
2025,12,18,00:03,58.7,32.98833,131.115,10,0.8,熊本県阿蘇地方
2025,12,18,00:05,33.1,40.94,143.07333,15,2.6,青森県東方沖
2025,12,18,00:10,12.8,36.00167,140.11333,64,2.2,茨城県南部
2025,12,18,00:12,55.5,34.11167,135.15333,6,-0.1,和歌山県北部
2025,12,18,00:13,29.4,40.95333,142.94,17,1.0,青森県東方沖
2025,12,18,00:16,56.5,39.22333,144.73667,46,4.5,三陸沖
2025,12,18,00:21,30.9,27.78333,129.32167,17,1.3,奄美大島近海
2025,12,18,00:21,59.4,41.05833,142.51,39,1.1,青森県東方沖
2025,12,18,00:22,52.2,36.55333,137.64,2,0.0,富山県東部
2025,12,18,00:23,57.4,41.295,142.615,37,0.8,青森県東方沖
2025,12,18,00:26,55.9,40.92833,142.93667,16,1.2,青森県東方沖
2025,12,18,00:27,9.7,33.59,135.49167,15,0.4,和歌山県南部
2025,12,18,00:27,56.7,41.16667,142.61667,36,0.9,青森県東方沖
2025,12,18,00:28,16.0,33.59333,135.49667,14,0.4,和歌山県南部
2025,12,18,00:28,40.8,41.27,142.36,50,1.8,青森県東方沖
2025,12,18,00:29,21.6,37.68333,142.625,35,1.7,福島県沖
2025,12,18,00:32,2.0,33.59,135.49,14,0.5,和歌山県南部
2025,12,18,00:32,23.9,41.17167,142.605,36,1.2,青森県東方沖
2025,12,18,00:33,33.5,36.655,139.30333,8,1.0,群馬県北部
2025,12,18,00:33,41.2,40.99,143.03833,26,2.2,青森県東方沖
2025,12,18,00:35,26.6,40.96167,142.92667,17,1.2,青森県東方沖
2025,12,18,00:36,42.6,41.05333,142.51,41,1.1,青森県東方沖
2025,12,18,00:38,3.6,34.40167,134.80333,14,0.5,淡路島付近
2025,12,18,00:39,28.4,30.46,130.48,72,0.8,種子島近海
2025,12,18,00:40,45.8,40.84333,142.68667,33,1.1,青森県東方沖
2025,12,18,00:45,15.3,37.165,141.42833,44,2.5,福島県沖
2025,12,18,00:45,27.5,27.66,128.705,16,1.4,奄美大島近海
2025,12,18,00:49,3.1,40.36,143.01667,19,1.9,岩手県沖
2025,12,18,00:49,20.0,40.36,143.01167,19,3.0,岩手県沖
2025,12,18,00:49,56.4,33.28333,131.45,6,0.3,大分県中部
2025,12,18,00:53,19.0,40.995,143.04333,27,1.2,青森県東方沖
2025,12,18,00:53,41.9,40.36167,143.01333,21,3.3,岩手県沖
2025,12,18,00:59,6.6,32.99,131.11167,12,1.2,熊本県阿蘇地方
